Date,Age,Stock,Vin6,Type,Vehicle,Trade,Salesperson,Customer,Front Gross,FI Gross,Total Gross
9/26,16,H7297,617571,New,26 TUCSON,Y,BCR,XX,532,691.15,1223.15
9/13,60,H7259,75920,New,26 SANTA FE,,BMU,XX,974,3200,4174
9/18,15,H7285,154680,New,26 SANTA FE,,BCR,XX,802,3878.69,4680.69
09/04,52,H7246,157536,New,26 SANTA CRU,Y,VN,XX,705,1817,2522
9/18,33,H7270,33538,New,26 PALISADE,Y,BCR,XX,1000,0,1000
9/26,36,H7272,19046,New,26 PALISADE,,EAS,XX,835,6381,7216
9/30,,HT7321,36601,New,26 PALISADE,Y,VN,XX,1167.31,1821,2988.31
09/05,7,H7281,363441,New,26 KONA,Y,PM,XX,399,2615.78,3014.78
09/06,,HT7288,365522,New,26 KONA,,BMU,XX,158,2700,2858
9/30,122,H7227,5597,New,26 IONIQ 9,,BCR,XX,2911,2404.12,5315.12
09/04,274,H7127,302070,New,25 TUCSON HY,,VN,XX,502,2627,3129
9/23,6,HT7302,394201,New,25 TUCSON HY,Y,VN,XX,2262,1206.83,3468.83
9/25,283,H7142,307239,New,25 TUCSON HY,Y,BMU,XX,466,274.47,740.47
09/05,999,HU5145,513574,New,25 TUCSON,,BCR,XX,2974.41,0,2974.41
9/12,2,HT7290,591223,New,25 TUCSON,Y,VN,XX,-36,410.1,374.1
9/16,246,H7160,520353,New,25 TUCSON,Y,VN,XX,378,200,578
9/16,267,H7153,17725,New,25 TUCSON,Y,BCR,XX,295,2231.28,2526.28
9/20,257,H7156,517505,New,25 TUCSON,,RV,XX,427,150,577
09/01,87,H7230,149246,New,25 SANTA FE,,VN,XX,434,2700,3134
09/02,87,H7235,69384,New,25 SANTA FE,,VN,XX,401,200,601
09/08,167,H7205,933939,New,25 PALISADE,Y,BCR,XX,435,2386,2821
09/03,13,H7274,72800,New,25 ELANTRA,Y,VN,XX,167.91,2620.67,2788.58
09/09,279,H7112,939790,Used,25 ELANTRA,,BCR,XX,173,3657.4,3830.4
9/12,37,HU5148,57528,Used,24 SANTA FE,,RV,XX,2822.41,4201.21,7023.62
9/12,32,H6925,51233,Used,24 SANTA FE,,BMU,XX,3029.63,3228.58,6258.21
09/01,102,HU5121,D16464,Used,24 F-150,Y,PM,XX,-218.52,0,-218.52
09/06,51,HT7244A,108533,Used,23 TITAN,Y,HUS,XX,3275.38,424.6,3699.98
9/24,30,H7265A,466506,Used,22 TACOMA 4W,Y,EAS,XX,2123,1841.74,3964.74
09/04,54,HU5144,466530,Used,22 SANTA FE,Y,BCR,XX,2886.04,2679.63,5565.67
9/30,64,HU5146,340669,Used,22 2500,Y,EAS,XX,2343.52,0,2343.52
9/12,85,H028951A,B25075,Used,21 EXPLORER,,VN,XX,650.87,587.6,1238.47
9/12,78,HT7236B,34990,Used,19 CIVIC,Y,BCR,XX,1411.65,952.77,2364.42
9/15,39,HU5149,236828,Used,18 RAV4,Y,BCR,XX,4003.31,3118.95,7122.26
9/29,131,HU5123,242942,Used,18 1500,Y,BMU,XX,-2483.64,1205.99,-1277.65
9/17,86,HU5119A,366757,Used,15 RAV4,,PM,XX,159.98,0,159.98
9/22,11,HU5153,251367,Used,15 OUTBACK,,VN,XX,4234.42,468.48,4702.9
09/01,82,H7168A,319277,Used,14 PRIUS V,,HUS,XX,589.19,0,589.19
9/12,38,H7085B,365372,Used,14 GRAND CHE,Y,HUS,XX,1262.16,2574.01,3836.17
09/08,33,HU5147,448242,Used,06 TUCSON,,PM,XX,3455.61,0,3455.61
